[2026-04-02T07:45:52.029Z] ═══ CONCORD MIGRATION START ═══
[2026-04-02T07:45:52.063Z] ✓ Source DB connected
[2026-04-02T07:45:52.280Z] ✓ Destination DB connected
[2026-04-02T07:45:52.282Z] ── Categories...
[2026-04-02T07:45:53.403Z]    ✓ 28 categories
[2026-04-02T08:11:39.390Z]    Progress: 12500/17722 — ok:12500 fail:0
[2026-04-02T08:11:52.662Z]    Progress: 12600/17722 — ok:12600 fail:0
[2026-04-02T08:12:06.098Z]    Progress: 12700/17722 — ok:12700 fail:0
[2026-04-02T08:12:19.708Z]    Progress: 12800/17722 — ok:12800 fail:0
[2026-04-02T08:12:35.614Z]    Progress: 12900/17722 — ok:12900 fail:0
[2026-04-02T08:12:52.000Z]    Progress: 13000/17722 — ok:13000 fail:0
[2026-04-02T08:13:03.468Z]    Progress: 13100/17722 — ok:13100 fail:0
[2026-04-02T08:13:17.850Z]    Progress: 13200/17722 — ok:13200 fail:0
[2026-04-02T08:13:30.129Z]    Progress: 13300/17722 — ok:13300 fail:0
[2026-04-02T08:13:44.920Z]    Progress: 13400/17722 — ok:13400 fail:0
[2026-04-02T08:13:56.191Z]    Progress: 13500/17722 — ok:13500 fail:0
[2026-04-02T08:14:08.753Z]    Progress: 13600/17722 — ok:13600 fail:0
[2026-04-02T08:14:22.462Z]    Progress: 13700/17722 — ok:13700 fail:0
[2026-04-02T08:14:38.961Z]    Progress: 13800/17722 — ok:13800 fail:0
[2026-04-02T08:14:55.213Z]    Progress: 13900/17722 — ok:13900 fail:0
[2026-04-02T08:15:09.848Z]    Progress: 14000/17722 — ok:14000 fail:0
[2026-04-02T08:15:25.870Z]    Progress: 14100/17722 — ok:14100 fail:0
[2026-04-02T08:15:41.096Z]    Progress: 14200/17722 — ok:14200 fail:0
[2026-04-02T08:15:52.738Z]    Progress: 14300/17722 — ok:14300 fail:0
[2026-04-02T08:16:08.084Z]    Progress: 14400/17722 — ok:14400 fail:0
[2026-04-02T08:16:20.477Z]    Progress: 14500/17722 — ok:14500 fail:0
[2026-04-02T08:16:32.223Z]    Progress: 14600/17722 — ok:14600 fail:0
[2026-04-02T08:16:44.273Z]    Progress: 14700/17722 — ok:14700 fail:0
[2026-04-02T08:17:00.381Z]    Progress: 14800/17722 — ok:14800 fail:0
[2026-04-02T08:17:17.717Z]    Progress: 14900/17722 — ok:14900 fail:0
[2026-04-02T08:17:31.888Z]    Progress: 15000/17722 — ok:15000 fail:0
[2026-04-02T08:17:46.993Z]    Progress: 15100/17722 — ok:15100 fail:0
[2026-04-02T08:17:58.118Z]    Progress: 15200/17722 — ok:15200 fail:0
[2026-04-02T08:18:09.219Z]    Progress: 15300/17722 — ok:15300 fail:0
[2026-04-02T08:18:23.888Z]    Progress: 15400/17722 — ok:15400 fail:0
[2026-04-02T08:18:35.100Z]    Progress: 15500/17722 — ok:15500 fail:0
[2026-04-02T08:18:46.825Z]    Progress: 15600/17722 — ok:15600 fail:0
[2026-04-02T08:18:57.860Z]    Progress: 15700/17722 — ok:15700 fail:0
[2026-04-02T08:19:13.204Z]    Progress: 15800/17722 — ok:15800 fail:0
[2026-04-02T08:19:25.659Z]    Progress: 15900/17722 — ok:15900 fail:0
[2026-04-02T08:19:37.162Z]    Progress: 16000/17722 — ok:16000 fail:0
[2026-04-02T08:19:49.833Z]    Progress: 16100/17722 — ok:16100 fail:0
[2026-04-02T08:20:01.369Z]    Progress: 16200/17722 — ok:16200 fail:0
[2026-04-02T08:20:12.487Z]    Progress: 16300/17722 — ok:16300 fail:0
[2026-04-02T08:20:27.110Z]    Progress: 16400/17722 — ok:16400 fail:0
[2026-04-02T08:20:40.450Z]    Progress: 16500/17722 — ok:16500 fail:0
[2026-04-02T08:20:53.236Z]    Progress: 16600/17722 — ok:16600 fail:0
[2026-04-02T08:21:06.227Z]    Progress: 16700/17722 — ok:16700 fail:0
[2026-04-02T08:21:20.717Z]    Progress: 16800/17722 — ok:16800 fail:0
[2026-04-02T08:21:34.018Z]    Progress: 16900/17722 — ok:16900 fail:0
[2026-04-02T08:21:47.121Z]    Progress: 17000/17722 — ok:17000 fail:0
[2026-04-02T08:22:02.167Z]    Progress: 17100/17722 — ok:17100 fail:0
[2026-04-02T08:22:17.394Z]    Progress: 17200/17722 — ok:17200 fail:0
[2026-04-02T08:22:29.405Z]    Progress: 17300/17722 — ok:17300 fail:0
[2026-04-02T08:22:43.633Z]    Progress: 17400/17722 — ok:17400 fail:0
[2026-04-02T08:22:55.773Z]    Progress: 17500/17722 — ok:17500 fail:0
[2026-04-02T08:23:07.697Z]    Progress: 17600/17722 — ok:17600 fail:0
[2026-04-02T08:23:26.196Z]    Progress: 17700/17722 — ok:17700 fail:0
[2026-04-02T08:23:29.124Z]    Progress: 17722/17722 — ok:17722 fail:0
[2026-04-02T08:23:29.125Z]    ✓ 17722 articles migrated, 0 failed
[2026-04-02T08:23:29.127Z] ── Tags... skipped (news_tags not in backup)
[2026-04-02T08:23:29.128Z] ── Article tags... skipped (news_contentitem_tag_map not in backup)
[2026-04-02T08:23:29.129Z] ── Redirects...
[2026-04-02T08:41:09.633Z]    ✓ 35444 redirects
[2026-04-02T08:41:09.635Z] ═══ MIGRATION COMPLETE ═══
